set_num,name,year,theme_id,num_parts,img_url
42141-2,McLaren Formula 1 Team 2022 (Second Edition),2022,1,1432,https://cdn.rebrickable.com/media/sets/42141-2.jpg
42143-1,Ferrari Daytona SP3,2022,1,3778,https://cdn.rebrickable.com/media/sets/42143-1.jpg
42144-1,Material Handler,2022,1,835,https://cdn.rebrickable.com/media/sets/42144-1.jpg
42145-1,Airbus H175 Rescue Helicopter,2022,1,2001,https://cdn.rebrickable.com/media/sets/42145-1.jpg
42146-1,Liebherr Crawler Crane LR 13000,2023,1,2883,https://cdn.rebrickable.com/media/sets/42146-1.jpg
42147-1,Dump Truck,2023,1,177,https://cdn.rebrickable.com/media/sets/42147-1.jpg
42148-1,Snow Groomer,2023,1,178,https://cdn.rebrickable.com/media/sets/42148-1.jpg
42149-1,Monster Jam Dragon,2023,1,217,https://cdn.rebrickable.com/media/sets/42149-1.jpg
42150-1,Monster Jam Monster Mutt Dalmatian,2023,1,244,https://cdn.rebrickable.com/media/sets/42150-1.jpg
42151-1,Bugatti Bolide,2023,1,905,https://cdn.rebrickable.com/media/sets/42151-1.jpg
42152-1,Firefighter Aircraft,2023,1,1134,https://cdn.rebrickable.com/media/sets/42152-1.jpg
42153-1,NASCAR Next Gen Chevrolet Camaro ZL1,2023,1,672,https://cdn.rebrickable.com/media/sets/42153-1.jpg
42154-1,2022 Ford GT,2023,1,1466,https://cdn.rebrickable.com/media/sets/42154-1.jpg
42155-1,The Batman - Batcycle,2023,1,641,https://cdn.rebrickable.com/media/sets/42155-1.jpg
42156-1,Peugeot 9X8 Le Mans Hybrid Hypercar,2023,1,1775,https://cdn.rebrickable.com/media/sets/42156-1.jpg
42157-1,John Deere 948L-II Skidder,2023,1,1492,https://cdn.rebrickable.com/media/sets/42157-1.jpg
42158-1,NASA Mars Rover Perseverance,2023,1,1132,https://cdn.rebrickable.com/media/sets/42158-1.jpg
42159-1,Yamaha MT-10 SP,2023,1,1478,https://cdn.rebrickable.com/media/sets/42159-1.jpg
42160-1,Audi RS Q e-tron,2023,1,914,https://cdn.rebrickable.com/media/sets/42160-1.jpg
42161-1,Lamborghini Huracán Tecnica,2023,1,806,https://cdn.rebrickable.com/media/sets/42161-1.jpg
42162-1,Bugatti Bolide Agile Blue,2023,1,905,https://cdn.rebrickable.com/media/sets/42162-1.jpg
42163-1,Heavy-Duty Bulldozer,2024,1,195,https://cdn.rebrickable.com/media/sets/42163-1.jpg
42164-1,Off-Road Race Buggy,2024,1,219,https://cdn.rebrickable.com/media/sets/42164-1.jpg
42165-1,Mercedes-AMG F1 W14 Pull-Back,2024,1,240,https://cdn.rebrickable.com/media/sets/42165-1.jpg
42166-1,NEOM McLaren Extreme E Race Car,2024,1,252,https://cdn.rebrickable.com/media/sets/42166-1.jpg
42167-1,Mack LR Electric Garbage Truck,2024,1,503,https://cdn.rebrickable.com/media/sets/42167-1.jpg
42168-1,John Deere 9700 Forage Harvester,2024,1,559,https://cdn.rebrickable.com/media/sets/42168-1.jpg
42169-1,NEOM McLaren Formula E Race Car,2024,1,452,https://cdn.rebrickable.com/media/sets/42169-1.jpg
42170-1,Kawasaki Ninja H2 Motorcycle,2024,1,643,https://cdn.rebrickable.com/media/sets/42170-1.jpg
42171-1,Mercedes-AMG F1 W14 E Performance,2024,1,1642,https://cdn.rebrickable.com/media/sets/42171-1.jpg
42172-1,McLaren P1,2024,1,3893,https://cdn.rebrickable.com/media/sets/42172-1.jpg
42173-1,Koenigsegg Jesko Absolut Grey Hypercar,2024,1,801,https://cdn.rebrickable.com/media/sets/42173-1.jpg
42174-1,Emirates Team New Zealand AC75 Yacht,2024,1,964,https://cdn.rebrickable.com/media/sets/42174-1.jpg
42175-1,Volvo FMX Truck & EC230 Electric Excavator,2024,1,2274,https://cdn.rebrickable.com/media/sets/42175-1.jpg
42176-1,Porsche GT4 e-Performance,2024,1,834,https://cdn.rebrickable.com/media/sets/42176-1.jpg
42177-1,Mercedes-Benz G 500 PROFESSIONAL Line,2024,1,2891,https://cdn.rebrickable.com/media/sets/42177-1.jpg
